id,x,y,0.0,1
47,12,-1,71.874432,3
46,12,-10,45.11171,2
64,20,-4,35.693471,2
47,12,-1,71.874432,3
46,12,-10,45.11171,2
41,10,-24,40.0,2
40,9,-25,84.912249,4
38,8,-25,85.297977,4
43,11,-26,13.89649,1
51,14,-21,41.33747,2
68,22,-14,41.990883,2
61,19,-19,24.653839,1
64,20,-4,35.693471,2
60,19,-21,68.333333,3
73,25,-17,68.308631,3
76,27,-11,48.559575,2
58,18,-29,40.0,2
80,32,-5,55.439661,3
72,24,-25,55.267187,3
47,12,-1,71.874432,3
46,12,-10,45.11171,2
64,20,-4,35.693471,2
51,14,-21,41.33747,2
68,22,-14,41.990883,2
61,19,-19,24.653839,1
60,19,-21,68.333333,3
76,27,-11,48.559575,2
73,25,-17,68.308631,3
47,12,-1,71.874432,3
46,12,-10,45.11171,2
41,10,-24,40.0,2
40,9,-25,84.912249,4
38,8,-25,85.297977,4
43,11,-26,13.89649,1
51,14,-21,41.33747,2
64,20,-4,35.693471,2
68,22,-14,41.990883,2
61,19,-19,24.653839,1
60,19,-21,68.333333,3
76,27,-11,48.559575,2
73,25,-17,68.308631,3
