id,x,y,0.0,1
55,16,4,27.122605,2
56,16,8,49.903183,2
48,12,15,49.589482,2
49,13,14,30.977739,2
44,11,17,51.82973,3
53,15,16,39.334247,2
52,14,19,34.4895,2
62,19,18,38.454967,2
69,22,16,40.0,2
65,20,20,30.674276,2
70,23,17,50.358357,3
77,28,12,59.889172,3
78,29,9,40.934288,2
55,16,4,27.122605,2
56,16,8,49.903183,2
49,13,14,30.977739,2
48,12,15,49.589482,2
53,15,16,39.334247,2
44,11,17,51.82973,3
52,14,19,34.4895,2
62,19,18,38.454967,2
69,22,16,40.0,2
70,23,17,50.358357,3
65,20,20,30.674276,2
78,29,9,40.934288,2
77,28,12,59.889172,3
55,16,4,27.122605,2
56,16,8,49.903183,2
48,12,15,49.589482,2
49,13,14,30.977739,2
44,11,17,51.82973,3
53,15,16,39.334247,2
52,14,19,34.4895,2
62,19,18,38.454967,2
69,22,16,40.0,2
65,20,20,30.674276,2
70,23,17,50.358357,3
77,28,12,59.889172,3
78,29,9,40.934288,2
42,10,21,36.525665,2
36,5,25,13.263466,1
71,23,25,29.784412,2
42,10,21,36.525665,2
55,16,4,27.122605,2
56,16,8,49.903183,2
36,5,25,13.263466,1
