id,x,y,0.0,1
158,1,-9,35.976794,2
166,4,-7,39.262789,2
161,2,-10,25.741373,2
165,4,-11,13.222719,1
164,3,-13,44.728118,2
154,-4,-5,13.222719,1
153,-4,-6,32.792381,2
149,-5,-6,25.945849,2
150,-5,-5,45.405598,2
128,-18,0,47.817707,2
167,4,-1,54.801,3
162,2,3,38.013535,2
155,-2,4,56.583143,3
145,-8,-12,44.103609,2
142,-10,-7,25.020752,2
152,-4,-18,38.744831,2
138,-12,-10,47.656642,2
151,-5,13,40.0,2
166,4,-7,39.262789,2
167,4,-1,54.801,3
158,1,-9,35.976794,2
161,2,-10,25.741373,2
165,4,-11,13.222719,1
164,3,-13,44.728118,2
162,2,3,38.013535,2
154,-4,-5,13.222719,1
153,-4,-6,32.792381,2
149,-5,-6,25.945849,2
150,-5,-5,45.405598,2
155,-2,4,56.583143,3
151,-5,13,40.0,2
167,4,-1,54.801,3
166,4,-7,39.262789,2
162,2,3,38.013535,2
158,1,-9,35.976794,2
161,2,-10,25.741373,2
165,4,-11,13.222719,1
164,3,-13,44.728118,2
155,-2,4,56.583143,3
154,-4,-5,13.222719,1
153,-4,-6,32.792381,2
150,-5,-5,45.405598,2
149,-5,-6,25.945849,2
151,-5,13,40.0,2
