id,x,y,0.0,1
189,20,-4,37.995052,2
190,20,4,38.884138,2
196,23,-4,33.44019,2
193,22,0,67.134317,3
189,20,-4,37.995052,2
196,23,-4,33.44019,2
193,22,0,67.134317,3
190,20,4,38.884138,2
194,22,10,49.652555,2
197,24,8,50.223087,3
204,28,0,38.175916,2
208,30,3,43.227914,2
206,29,7,33.042605,2
205,28,9,39.609701,2
189,20,-4,37.995052,2
190,20,4,38.884138,2
193,22,0,67.134317,3
196,23,-4,33.44019,2
194,22,10,49.652555,2
197,24,8,50.223087,3
206,29,7,33.042605,2
205,28,9,39.609701,2
202,27,10,38.969446,2
204,28,0,38.175916,2
208,30,3,43.227914,2
219,32,1,49.903953,2
209,30,10,39.645165,2
215,31,13,56.266622,3
223,33,12,40.0,2
215,31,13,56.266622,3
202,27,10,38.969446,2
205,28,9,39.609701,2
209,30,10,39.645165,2
223,33,12,40.0,2
194,22,10,49.652555,2
197,24,8,50.223087,3
206,29,7,33.042605,2
208,30,3,43.227914,2
190,20,4,38.884138,2
219,32,1,49.903953,2
204,28,0,38.175916,2
193,22,0,67.134317,3
